Word,Count
/,49
the,43
for,27
to,20
this,17
code,16
of,16
assembly,15
method,14
</summary>,14
Required,14
Reporting,14
designer,14
support,14
telerik,14
<summary>,14
modify,10
is,10
with,10
not,10
following,9
Version,9
an,9
any,8
after,7
-,7
constructor,7
pageFooterSection1,7
detail,7
description,7
TODO:,7
do,7
contents,7
pageHeaderSection1,7
Summary,7
call,7
editor,7
Add,7
in,7
InitializeComponent,7
type,6
attribute,6
ComVisible,6
textBox2,6
set,6
COM,6
textBox1,6
Console.WriteLine(value:,6
information,6
Build,5
you,5
Revision,5
values,5
if,4
a,4
+,4
can,4
textBox3,4
Setting,3
four,3
ID,3
Change,3
on,3
from,3
about,3
associated,3
these,3
GUID,3
project,3
General,3
\COM,\,3
exposed,3
true,3
visible,3
components,3
by,3
attributes,3
need,3
through,3
typelib,3
controlled,3
Information,3
values:,3
and,3
The,3
access,3
If,3
false,3
consists,3
textBox4,3
types,3
Number,3
makes,3
Major,3
Minor,3
that,3
TicketWD,2
\AssemblyVersion("\1.0.*"\)]\,2
textBox9,2
[assembly:,2
textBox16,2
default,2
'*',2
below:,2
using,2
TicketSerC1,2
Ticket,2
textBox11,2
textBox15,2
shape1,2
barcode1,2
all,2
\RecID:"\\,2
as,2
You,2
textBox14,2
textBox13,2
VehicalCopy,2
------------------------------------------------------------------------------,2
specify,2
Barcode,2
Numbers,2
strRecID);,2
textBox12,2
TicketUP,2
textBox5,2
or,2
textBox8,2
shown,2
textBox7,2
TicketAir,2
textBox6,2
textBox10,2
barcode2,1
\exit."\);\,1
ticketAir1,1
will,1
textBox18,1
Runtime,1
open,1
nextN);,1
subBarcode,1
generated,1
tool,1
subReportTicketC1,1
textBox17,1
sqlDataSourceTickUp,1
subTicketUp,1
be,1
pictureBox1,1
was,1
\"\\,1
panel1,1
subTicketAir,1
ticketSerC11,1
sqlDataSourceTicketWD,1
may,1
regenerated,1
\"\Press\,1
\"\Delete\,1
\"\strLocationID:\,1
ticketWD1,1
sqlDataSourceTicket,1
debug,1
console,1
Keep,1
shape2,1
lost,1
\"\Next:"\\,1
textBox19,1
window,1
Console.ReadKey();,1
</auto-generated>,1
\"\Print\,1
sqlDataSourceVehCopy,1
ticketUP1,1
subTicketWD,1
behavior,1
strLocationID);,1
<auto-generated>,1
file,1
Completed,1
shape6,1
cause,1
Changes,1
shape3,1
incorrect,1
sqlDataSourceTicketAir,1
barcode3,1
\"\);\,1
sqlDataSourceTicketC1,1
\"\Found\,1
textBox20,1
key,1
This,1
shape4,1
Version:4.0.30319.42000,1
mode,1
subReportTicketc2,1
