Word,Count
/,13578
the,10452
to,6402
a,3443
of,3296
is,2359
for,2275
in,2064
or,1927
and,1869
<param,1847
field,1811
file,1780
if,1685
from,1629
*,1623
that,1411
event,1380
element,1333
an,1291
be,1190
<returns,1183
/>,1183
set,1146
on,1122
elements,1104
,1090
</summary>,1064
<summary>,1064
-,1009
</signature>,978
<signature>,978
modify,906
designer,878
move,872
To,868
control,859
this,846
we,835
\type="\jQuery"\\,831
code-behind,828
<remarks>,828
</remarks>,828
declaration,828
Auto-generated,828
function,828
with,825
it,787
will,763
not,758
string,755
matched,737
by,724
when,703
as,688
are,683
value,663
jQuery,656
object,598
If,583
each,571
all,546
The,541
data,511
use,500
DOM,486
handler,479
which,430
current,426
position,416
date,404
IE,403
so,400
have,398
can,390
\type="\Function"\>A\,363
only,362
A,357
array,347
was,335
selector,325
one,322
false,310
but,305
Set,304
property,302
return,300
\type="\String"\>A\,297
callback,292
elements.</summary>,291
code,288
</param>,287
at,287
containing,284
events,284
This,284
execute,280
no,279
more,279
document,278
name,273
any,269
used,269
passed,264
offset,259
need,255
returns,253
after,250
has,247
options,247
call,246
time,246
number,241
input,240
JavaScript,239
new,239
check,234
first,231
trigger,231
@param,230
match,229
animation,228
given,226
values,223
properties,220
may,211
Create,207
list,207
specified,203
support,203
attribute,202
map,201
target,201
don't,195
Check,194
type,193
it's,192
then,190
We,188
do,188
CSS,188
already,185
using,184
method,184
selected,184
sure,181
before,181
called,180
whether,179
class,178
HTML,178
\name="\handler(eventObject)"\\,177
into,176
nodes,174
original,173
------------------------------------------------------------------------------,172
default,172
case,172
triggered.</param>,171
element.</summary>,171
picker,170
Add,169
Get,169
\elements,\,167
should,166
relative,165
add,163
other,161
option,161
remove,156
test,156
once,155
\type="\Object"\>A\,153
Only,153
callbacks,153
doesn't,153
get,152
content,152
request,152
up,151
=,151
Make,151
true,150
\event,\,150
<summary>Bind,147
parent,147
there,147
handlers,146
index,145
helper,145
cache,145
context,144
through,143
we're,143
attributes,142
indicating,141
CRITICAL,140
just,140
names,140
instead,139
its,138
(see,138
avoid,138
Use,137
been,136
Remove,136
\selector,\,135
tab,135
\name="\selector"\\,134
where,133
item,132
also,132
queue,131
cause,131
TODO,130
Microsoft,129
settings,128
global,127
\element,\,127
argument,126
