Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,427,171613,118712,94198,18455,20641,2286,32260,214060,456,3882
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source,427,171613,118712,94198,18455,20641,2286,32260,214060,456,3882
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup,208,68671,48010,37804,7076,8139,918,12522,78922,206,1717
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS,182,62849,43688,34059,7074,8083,917,11078,77786,206,1716
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOSReportLibrary,26,5822,4322,3745,2,56,1,1444,1136,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOSReportLibrary\Properties,2,72,38,12,2,12,1,22,126,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account,14,877,581,193,24,131,5,165,706,0,5
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\App_Start,2,48,29,17,0,7,0,12,53,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Controllers,1,44,28,15,0,5,0,11,73,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Java,1,1,1,39,0,0,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Properties,1,36,15,3,0,5,0,16,118,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Scripts,9,27239,18931,15906,3422,3468,438,4840,41204,102,877
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj,45,26347,19841,15736,3421,3588,438,2918,23955,88,743
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release,45,26347,19841,15736,3421,3588,438,2918,23955,88,743
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package,45,26347,19841,15736,3421,3588,438,2918,23955,88,743
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp,45,26347,19841,15736,3421,3588,438,2918,23955,88,743
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Account,4,272,245,0,1,27,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Java,1,1,1,39,0,0,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Scripts,7,24726,18349,15605,3420,3459,438,2918,23955,88,743
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS,182,62858,43688,34059,7074,8092,917,11078,77786,206,1716
