File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Java\globalNavFunctionality.js,T$(i),1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Java\globalNavFunctionality.js,"T$$(e, p)",1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Java\globalNavFunctionality.js,function(),1,1,35,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Java\globalNavFunctionality.js,T$(i),1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Java\globalNavFunctionality.js,"T$$(e, p)",1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Java\globalNavFunctionality.js,function(),1,1,35,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Scripts\ai.0.15.0-build41087.min.js,initializeAppInsights(),1,1,5,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",262,198,142,34,33,0,31,215,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",154,116,79,26,28,0,10,81,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",432,357,234,53,40,0,35,346,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",647,540,349,93,88,0,19,194,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Scripts\ai.0.15.0-build41087.min.js,initializeAppInsights(),1,1,5,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Scripts\jquery-1.8.2.intellisense.js,function(func),131,37,21,1,1,0,93,739,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",262,198,142,34,33,0,31,215,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",154,116,79,26,28,0,10,81,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",432,357,234,53,40,0,35,346,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",647,540,349,93,88,0,19,194,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Java\globalNavFunctionality.js,T$(i),1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Java\globalNavFunctionality.js,"T$$(e, p)",1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Java\globalNavFunctionality.js,function(),1,1,35,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\obj\Release\Package\PackageTmp\Java\globalNavFunctionality.js,T$(i),1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\obj\Release\Package\PackageTmp\Java\globalNavFunctionality.js,"T$$(e, p)",1,1,1,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\obj\Release\Package\PackageTmp\Java\globalNavFunctionality.js,function(),1,1,35,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\obj\Release\Package\PackageTmp\Scripts\ai.0.15.0-build41087.min.js,initializeAppInsights(),1,1,5,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\obj\Release\Package\PackageTmp\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",262,198,142,34,33,0,31,215,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\obj\Release\Package\PackageTmp\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",154,116,79,26,28,0,10,81,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\obj\Release\Package\PackageTmp\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",432,357,234,53,40,0,35,346,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\obj\Release\Package\PackageTmp\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",647,540,349,93,88,0,19,194,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Scripts\ai.0.15.0-build41087.min.js,initializeAppInsights(),1,1,5,0,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Scripts\jquery-1.8.2.intellisense.js,function(func),131,37,21,1,1,0,93,739,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",262,198,142,34,33,0,31,215,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",154,116,79,26,28,0,10,81,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",432,357,234,53,40,0,35,346,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Scripts\jquery-ui-1.8.24.js,"jQuery );    (function( $, undefined )",647,540,349,93,88,0,19,194,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.1.8.2\Tools\jquery-1.8.2.intellisense.js,function(func),131,37,21,1,1,0,93,739,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.UI.Combined.1.8.24\Content\Scripts\jquery-ui-1.8.24.js,"jQuery );  (function( $, undefined )",262,198,142,34,33,0,31,215,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.UI.Combined.1.8.24\Content\Scripts\jquery-ui-1.8.24.js,"jQuery );  (function( $, undefined )",154,116,79,26,28,0,10,81,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.UI.Combined.1.8.24\Content\Scripts\jquery-ui-1.8.24.js,"jQuery );  (function( $, undefined )",432,357,234,53,40,0,35,346,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\packages\jQuery.UI.Combined.1.8.24\Content\Scripts\jquery-ui-1.8.24.js,"jQuery );  (function( $, undefined )",647,540,349,93,88,0,19,194,
