Word,Count
/,2898
file,870
field,828
to,468
from,419
modify,415
To,415
</remarks>,414
</summary>,414
Auto-generated,414
designer,414
control,414
<remarks>,414
<summary>,414
declaration,414
move,414
code-behind,414
------------------------------------------------------------------------------,84
code,84
the,78
is,52
this,50
and,49
if,47
a,45
by,43
This,43
incorrect,42
<auto-generated>,42
tool,42
cause,42
be,42
may,42
</auto-generated>,42
Changes,42
will,42
lost,42
generated,42
was,42
regenerated,42
behavior,42
ServerName,30
Role,30
LocationDesc,30
LoginID,30
LocationID,30
of,28
***,20
AlertBox,20
***//,20
RedirectUrl,19
day,14
=,14
end,9
line,8
ReportViewer1,8
in,8
End,7
for,7
start,7
key:,6
\"\your\,6
an,5
assembly,5
that,5
+,4
RadScriptManager1,4
User,4
name,4
view,4
on,4
form1,4
service,3
\cs.RegisterStartupScript(cstype,\,3
},3
\secret"\);\,3
ClientScriptManager,3
Page.ClientScript;,3
provider,3
cs,3
true);,3
Build,3
class,3
cstext,3
app,3
Version,3
application,3
report,3
resolver,3
String,3
\(!cs.IsStartupScriptRegistered(cstype,\,3
\"\PopupScript"\))\,3
\"\PopupScript"\,\,3
this.GetType();,3
runs,3
addScriptTags:,3
as,3
cstype,3
script:,3
\cstext,\,3
external,3
{,3
UserID,3
Type,3
Determine,3
URL,3
can,3
Code,3
following,3
button8,2
HeadContent,2
button0,2
txtUsername,2
QsfSkinManager,2
Revision,2
button9,2
values,2
query,2
You,2
button2,2
txtPassword,2
already,2
button4,2
logon,2
date,2
redirect,2
Twitter,2
you,2
buttonC,2
Strip,2
details,2
button5,2
current,2
with,2
folder,2
OpenAuth,2
button1,2
Button,2
piclogo,2
desired,2
button3,2
client,2
SqlDataSource1,2
account,2
\"\alert('****\,2
button7,2
attribute,2
ReportServiceConfiguration,2
button6,2
QsfFromDecorator,2
Facebook,2
consumer,2
action,2
The,2
string,2
add,2
type,2
\"\****'\,2
or,2
set,2
associated,2
strButton,2
not,2
time,2
\NumberBtn=>"\+\,2
\id"\,\,2
definitions,2
using,2
it,2
Microsoft,2
MainContent,2
information,2
buttonD,2
url,2
RadGrid1,2
\);"\;\,2
ComVisible,2
COM,2
offset,1
\authenticated,\,1
link64URL,1
buttonL,1
strFriO2,1
General,1
up,1
converting,1
strMonDA,1
FeaturedContent,1
verification,1
\"\~/default.aspx"\);\,1
'*',1
strWedI3,1
ClockType,1
\')"\;\,1
error,1
strSunO1,1
ClockInOutBtnDisplay,1
Minor,1
Major,1
Create,1
buttonA,1
buttonF,1
strSunO3,1
appId:,1
link48URL.NavigateUrl,1
link50URL,1
ReturnBtn,1
auth,1
timeout,1
strSatI3,1
specify,1
project,1
strSatO2,1
AuthConfig.RegisterOpenAuth();,1
strSatI4,1
\COM,\,1
determines,1
link30URL,1
link66URL,1
Numbers,1
RegisterUserWizardStep,1
unhandled,1
link41URL,1
has,1
dtFri,1
txtCurrentStatus,1
http://go.microsoft.com/fwlink/?LinkId=252803,1
page,1
\+"\\,1
user,1
session,1
dtSun1,1
strMonI1,1
link62URL,1
need,1
ReportSharingTimeout,1
server,1
milliseconds,1
controlled,1
buttonT,1
format,1
buttonW,1
OpenAuth.AuthenticationClients.AddFacebook(,1
strTueO2,1
buttonClr,1
See,1
buttonJ,1
\enabled="\true"\/></system.web>)\,1
shown,1
buttonG,1
ClockStatus,1
URLs,1
strMonO3,1
finally,1
consumerKey:,1
out,1
RouteConfig.RegisterRoutes(RouteTable.Routes);,1
support,1
strFriI4,1
strSatTO,1
strFriO1,1
\"\~/TimeClock.aspx"\;\,1
list,1
buttonS,1
strWedO3,1
Setup,1
when,1
TimeCardInfo,1
ClockTypeLabel,1
RadGrid2,1
\"\alert('minTotal=>"\\,1
strFriI1,1
strTueI1,1
message,1
strFriO4,1
intClockType,1
txtCurrentTime,1
providerMessage,1
dtTue,1
enabled,1
swith,1
login,1
strFriI2,1
strThuO3,1
buttonB,1
default,1
created,1
makes,1
strTueI2,1
convert,1
Number,1
buttonI,1
Panel1,1
strMonTO,1
ClockBtn,1
strMonI3,1
enable,1
accounts,1
alternate,1
change,1
strFriO3,1
trdx,1
strWedI4,1
configuration,1
create,1
buttonQ,1
(trdx),1
short,1
types,1
into,1
XML,1
membership,1
logging,1
their,1
strWedDA,1
request,1
route,1
culture,1
\0,\,1
link54URL,1
consists,1
success,1
timezone,1
strTueDA,1
~/__FriendlyUrls_SwitchView/Mobile?ReturnUrl=/Page,1
If,1
TimeCardBtnDisplay,1
strMonO1,1
tracing,1
link61URL,1
visible,1
externalLoginsList,1
sections,1
strSatDA,1
storeName,1
then,1
MonthlySalesReport,1
ask,1
link63URL,1
strSunTO,1
link20URL,1
strSunI1,1
\definitions,\,1
strThuI1,1
true,1
Panel2,1
dtMon,1
StartOfWeek,1
strWedO4,1
Verify,1
userNameForm,1
access,1
dtThu,1
strTueO4,1
minMon.ToString(),1
buttonV,1
method,1
link65URL,1
link45URL,1
userName,1
Check,1
four,1
case,1
link46URL,1
strSunI2,1
\route,\,1
clientSecret:,1
<=,1
buttonN,1
strFriTO,1
\minMon=>"\\,1
password,1
link40URL,1
strTueTO,1
defines,1
contains,1
userNameMessage,1
link53URL,1
strThuI4,1
RegisterHyperLink,1
logged,1
newPasswordMessage,1
Convert,1
OpenAuth.AuthenticationClients.AddMicrosoft(,1
strSunI4,1
return,1
minutes,1
OpenAuth.AuthenticationClients.AddTwitter(,1
strWedO1,1
Handle,1
link51URL,1
RegisterUser,1
OK,1
through,1
strThuTO,1
Initialize,1
link48URL.Visible,1
Store,1
Here,1
link10URL,1
strTueI3,1
RadWindowManager1,1
clientId:,1
values:,1
via,1
link44URL,1
buttonM,1
strSunI3,1
typelib,1
SqlDataSource2,1
tUserName,1
dtWed,1
strMonO2,1
strFriI3,1
Render,1
buttonK,1
link50URL.NavigateUrl,1
DetailButtonDisplay,1
Panel4,1
setting,1
TimeSetInfo,1
false,1
buttonO,1
e.g,1
strSatO4,1
\error,\,1
Add,1
shutdown,1
confirmPassword,1
services,1
sync,1
we're,1
strTueO1,1
strThuDA,1
link60URL,1
attributes,1
resolver;,1
strThuI3,1
ASP.NET,1
&,1
ViewState,1
buttonU,1
long,1
strThuO1,1
\key"\,\,1
successMessage,1
TimeDetailInfo,1
SheetID,1
strThuO2,1
result,1
components,1
locally,1
txtCurrentUser,1
strMonI4,1
buttonR,1
display,1
(<system.web><trace,1
startup,1
dtSun,1
dtSat1,1
setPassword,1
render,1
minTotal.ToString(),1
appSecret:,1
OpenAuthLogin,1
formatting,1
switch,1
strWedO2,1
strFriDA,1
WeekOf,1
Process,1
strMonI2,1
strSatO3,1
ClientSessionTimeout,1
Friendly,1
Response.Redirect(url:,1
OpenAuth.AuthenticationClients.AddGoogle();,1
\new,\,1
buttonY,1
dtSat,1
Data-bind,1
all,1
visit,1
buttonP,1
occurs,1
UTC,1
strSunO2,1
DetailBtn,1
exposed,1
WeekOfLabel,1
GUID,1
strTueO3,1
AdminMenu,1
\15,\,1
strSunO4,1
these,1
ReportsMenu,1
instance,1
registered,1
ReportsController,1
\string,\,1
strSunDA,1
web.config,1
strWedI2,1
strSatO1,1
link42URL,1
strWedTO,1
Panel3,1
strThuI2,1
successfully,1
fallback,1
~/Trace.axd,1
strThuO4,1
\+"\<=\,1
payload,1
about,1
false;,1
\"\~/EODScreen.aspx"\;\,1
/api/report/,1
strWedI1,1
In,1
buttonDel,1
tPassword,1
Information,1
strMonO4,1
strTueI4,1
strSatI2,1
use,1
changePassword,1
SetTimeBtn,1
Change,1
ID,1
link43URL,1
below:,1
buttonH,1
buttonE,1
TimeCardBtn,1
thread,1
Setting,1
providersList,1
buttonX,1
strSatI1,1
buttonZ,1
consumerSecret:,1
link52URL,1
link90URL,1
