File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\About.aspx.cs,17,15,9,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\About.aspx.designer.cs,18,7,2,0,4,1,7,28,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\CashDrawerSetUp.aspx.cs,30,29,19,2,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\CashDrawerSetUp.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Clients.aspx.cs,31,29,19,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Clients.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\CloseOutRegister.aspx.cs,30,29,19,2,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\CloseOutRegister.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\CorpClientInvoiceList.aspx.cs,31,29,19,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\CorpClientInvoiceList.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\CustomerEmailer.aspx.cs,31,29,19,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\CustomerEmailer.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\DailyTipReport.aspx.cs,58,54,32,5,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\DailyTipReport.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Default.aspx.cs,28,26,14,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Default.aspx.designer.cs,25,6,3,0,5,1,14,54,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Details.aspx.cs,31,29,19,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Details.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Employees.aspx.cs,31,29,19,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Employees.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\EndOfDay.aspx.cs,34,32,20,3,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\EndOfDay.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\EODReport.aspx.cs,51,47,29,4,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\EODReport.aspx.designer.cs,79,12,9,0,11,1,56,210,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\EODScreen.aspx.cs,34,32,20,3,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\EODScreen.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\GiftCards.aspx.cs,31,29,19,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\GiftCards.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Global.asax.cs,36,25,15,0,6,0,5,22,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\HourlyWashReport.aspx.cs,51,47,29,4,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\HourlyWashReport.aspx.designer.cs,79,12,9,0,11,1,56,210,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\IPOD_Login.aspx.cs,118,101,70,9,10,0,7,29,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\IPOD_Login.aspx.designer.cs,79,12,9,0,11,1,56,210,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Login.aspx.cs,123,102,71,9,15,0,6,27,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\Login.aspx.designer.cs,88,13,10,0,12,1,63,236,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlyCustomerDetailReport.aspx.cs,64,54,32,5,10,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlyCustomerDetailReport.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlyCustomerSummary.aspx.cs,52,46,28,4,6,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlyCustomerSummary.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlySalesRepReport.aspx.cs,64,54,32,5,10,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\MPOS\MonthlySalesRepReport.aspx.designer.cs,70,11,8,0,10,1,49,184,0,1
