File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admCollisionFra.asp,142,121,0,0,21,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admDocListFra.asp,130,110,0,0,20,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admEditColl.asp,69,61,0,0,8,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admEditCollFra.asp,228,197,2,0,31,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admEditColllist.asp,125,109,0,0,16,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admEditUnif.asp,60,55,0,0,5,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admEditUnifFra.asp,223,194,2,0,29,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admEditUniflist.asp,131,116,0,0,15,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admFilterDlg.asp,177,166,1,0,11,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admLoading.asp,155,121,24,0,33,0,1,1,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admmenu.asp,527,460,25,1,67,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admNewColl.asp,58,54,0,0,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admNewCollFra.asp,176,153,1,0,23,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admNewUnif.asp,57,53,0,0,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admNewUnifFra.asp,222,199,1,0,23,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTime.asp,724,685,3,1,39,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeAddAdj.asp,70,63,0,0,7,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeAddAdjFra.asp,218,196,1,1,22,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeAddColl.asp,62,57,0,0,5,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeAddCollFra.asp,271,241,1,0,30,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeAddUnif.asp,61,57,0,0,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeAddUnifFra.asp,297,258,1,0,39,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeAdjFra.asp,202,180,0,0,22,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeAppDlg.asp,61,56,0,0,5,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeCardFra.asp,1247,1216,1,0,31,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeCloDlg.asp,60,56,0,0,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeCollFra.asp,247,219,0,0,28,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeDelNameDlg.asp,65,55,0,0,10,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeDetailFra.asp,238,219,0,0,19,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDS\admTimeNameFra.asp,167,152,0,1,15,0,0,0,0,0
