File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\aspJSON.asp,224,199,0,2,25,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\incADOvbs.Asp,266,238,0,0,28,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\incClientValidate.Asp,215,209,0,0,6,2,0,5,0,3
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\incCommon.asp,358,317,1,1,41,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\incDatabase.asp,487,451,0,4,36,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODGetAddService.asp,33,29,0,3,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODGetDept.asp,28,26,0,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODGetInfo.asp,46,43,0,2,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODGetUpCharge.asp,28,26,0,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODGetwaittime.asp,31,27,0,2,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODLogin.asp,49,42,0,1,7,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage0.asp,72,66,0,2,6,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage1.asp,32,26,0,0,6,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage1_1.asp,30,27,0,0,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage1_2.asp,36,33,0,2,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage1_3.asp,43,41,0,2,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage1_4.asp,38,33,0,2,5,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage2.asp,33,27,0,0,6,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage3.asp,30,26,0,0,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage4.asp,32,26,0,0,6,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage5.asp,2319,2239,0,322,80,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage5_SaveData.asp,29,25,0,0,4,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPage5_SaveOPT.asp,80,73,0,3,7,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCI\IPODPrint1.asp,66,55,0,2,11,0,0,0,0,0
