File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\CEmenu1.asp,timedRefresh(timeoutPeriod),6,2,2,0,1,0,3,6,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\incCommon.asp,ClientEncode(strvar),2,2,1,1,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\ADOUTILS.ASP,"RecordSetAsArray(rsADO,includeHeaderRow)",24,23,15,6,1,2,0,13,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\ADOUTILS.ASP,RecordSetAsDSO(rsADO),20,20,14,4,0,1,0,5,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\ADOUTILS.ASP,"RecordSetAsList(rsADO,field)",13,13,9,3,0,1,0,7,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\ADOUTILS.ASP,"RecordAsObject(rsADO,objectName)",26,26,18,6,0,1,0,7,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\BUTTON.ASP,"CreateButton(strName,funcInit,objParent)",13,13,9,3,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\BUTTON.ASP,_Button(strName),11,7,6,1,2,0,2,6,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\BUTTON.ASP,_BTN__Prototype(),184,151,89,30,26,6,7,53,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\CHECKBOX.ASP,"CreateCheckbox(strName,funcInit,objParent)",13,13,9,3,0,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\CHECKBOX.ASP,_Checkbox(strName),12,8,7,1,2,0,2,4,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\CHECKBOX.ASP,_CHK__Prototype(),202,162,99,29,32,6,8,53,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\DATAGRID.ASP,"CreateDataGrid(strName,funcInit,objParent)",14,13,9,3,1,0,0,0,
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\WEB\MDSCU\_ScriptLibrary\DATAGRID.ASP,"_DataGrid(strName,objParent)",23,17,16,1,3,8,3,28,
